temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5072, -723, 6212, -988, 4768, -6612, -908, -1121
4992, -804, 6009, -896, 4816, -6409, -975, -1014
4928, -752, 5807, -697, 4832, -6226, -898, -813
4992, -546, 5630, -545, 4848, -6035, -646, -621
5008, -359, 5292, -346, 4816, -5634, -506, -468
5056, -370, 4640, -177, 4768, -4940, -544, -298
5024, -311, 3855, -23, 4848, -4136, -445, -139
5008, -103, 3038, 117, 4816, -3380, -250, -8
5056, 8, 2278, 245, 4880, -2567, -136, 152
5056, 196, 1482, 361, 4752, -1802, 63, 277
4960, 437, 835, 513, 4880, -1178, 307, 428
5008, 658, 286, 616, 4768, -601, 524, 533
5104, 868, -174, 679, 4832, -185, 728, 557
4928, 1076, -566, 733, 4784, 196, 917, 637
5008, 1209, -812, 789, 4720, 441, 1030, 698
5008, 1265, -1003, 792, 4752, 609, 1070, 721
5008, 1282, -1037, 775, 4768, 615, 1105, 653
4992, 1340, -951, 720, 4768, 504, 1178, 612
5056, 1353, -853, 624, 4768, 453, 1155, 506
5024, 1273, -904, 542, 4816, 516, 1027, 459
4992, 1119, -1106, 552, 4816, 731, 906, 426
5008, 1056, -1346, 536, 4848, 1004, 865, 409
5024, 1193, -1617, 496, 4848, 1260, 1012, 395
4928, 1410, -1956, 567, 4832, 1583, 1342, 477
4960, -112, -2935, 373, 4720, 2535, -114, 396
5056, 23, -3101, 417, 4768, 2771, -219, 283
5008, -119, -3365, 275, 4784, 2974, -258, 171
5008, -32, -3594, 152, 4832, 3270, -240, 48
5008, -102, -4085, 126, 4768, 3786, -278, 34
4992, -100, -4841, 148, 4816, 4572, -298, 115
4960, -139, -5637, 343, 4832, 5334, -364, 279
5008, -146, -5955, 373, 4768, 5583, -323, 340
4960, -179, -5862, 448, 4816, 5447, -349, 385
5008, -170, -5724, 460, 4816, 5345, -376, 377
5056, -149, -5653, 417, 4784, 5259, -381, 342
4896, -170, -5820, 368, 4816, 5471, -405, 266
4960, -205, -6377, 406, 4816, 6061, -431, 347
4880, -253, -7151, 529, 4816, 6888, -456, 516
4992, -275, -7854, 681, 4816, 7539, -461, 646
5008, -234, -8186, 785, 4752, 7837, -450, 714
5024, -229, -8268, 799, 4816, 7871, -434, 766
4960, -257, -8313, 853, 4784, 7974, -455, 806
4944, -312, -8380, 901, 4784, 8022, -526, 841
5024, -228, -8612, 932, 4704, 8300, -487, 851
4944, -342, -9295, 1040, 4832, 9050, -585, 1066
4992, -425, -10463, 1253, 4832, 10355, -549, 1185
5008, -347, -11942, 1015, 4768, 11803, -611, 902
5024, -327, -13363, 756, 4880, 13222, -574, 688
5008, -335, -14634, 604, 4752, 14534, -575, 575
4992, -244, -15866, 496, 4880, 15647, -504, 509
4928, 6122, 215, 329, 4816, 1585, -2154, 679
5008, -334, 67, -153, 4816, -245, -262, -104
5008, 25, -245, 62, 4784, -293, 44, -77
4944, 83, -178, 39, 4832, -271, -160, -89
5008, 170, -191, 49, 4784, -234, -85, -68
5008, 85, -104, 26, 4816, -277, -164, -70
4944, 101, -159, 63, 4672, -247, -123, -70
5024, 106, -178, 40, 4704, -242, -131, -67
5024, 108, -173, 64, 4768, -252, -101, -68
5056, 94, -176, 58, 4784, -246, -121, -82
5008, 58, -196, 42, 4880, -250, -132, -77
4928, 74, -177, 69, 4704, -257, -133, -81
5056, 75, -188, 41, 4752, -257, -130, -77
5056, 80, -169, 50, 4752, -240, -140, -63
4960, 69, -177, 39, 4848, -242, -139, -68
4992, 70, -183, 39, 4752, -250, -131, -75
5008, 69, -185, 28, 4832, -253, -128, -87
4960, 68, -183, 43, 4768, -254, -138, -65
5008, 90, -171, 39, 4816, -247, -130, -56
5024, 91, -182, 64, 4816, -256, -117, -55
5056, 80, -190, 42, 4816, -251, -152, -74
4928, 75, -190, 31, 4832, -269, -143, -78
4928, 103, -194, 38, 4816, -249, -110, -87
5008, 98, -196, 56, 4816, -249, -137, -57
4992, 107, -185, 36, 4768, -234, -164, -59
5008, 81, -178, 36, 4816, -248, -144, -76
5008, 80, -183, 62, 4832, -269, -136, -81
4944, 85, -183, 67, 4752, -254, -126, -89
5008, 70, -193, 49, 4816, -266, -133, -76
4944, 81, -190, 52, 4816, -243, -135, -58
5008, 103, -201, 52, 4720, -276, -137, -56
4896, 88, -171, 51, 4832, -236, -103, -83
5008, 97, -173, 45, 4768, -251, -150, -43
5008, 69, -177, 38, 4768, -255, -131, -77
4928, 71, -170, 38, 4768, -232, -114, -71
4960, 90, -169, 51, 4816, -259, -142, -82
4992, 110, -202, 62, 4672, -232, -140, -91
5024, 76, -179, 50, 4816, -261, -131, -73
5024, 99, -194, 59, 4768, -235, -147, -71
5024, 83, -177, 31, 4832, -255, -132, -56
4960, 96, -196, 55, 4720, -244, -125, -63
4960, 67, -178, 53, 4832, -246, -135, -68
4992, 85, -167, 63, 4768, -241, -135, -79
5008, 84, -168, 43, 4768, -251, -143, -66
5008, 65, -178, 49, 4848, -266, -148, -59
5008, 71, -199, 23, 4768, -245, -132, -54
4944, 75, -173, 57, 4832, -231, -143, -71
4944, 67, -187, 40, 4880, -242, -129, -66
5024, 83, -203, 49, 4816, -244, -123, -76
4992, 76, -174, 61, 4768, -251, -135, -70
5008, 84, -177, 43, 4784, -266, -111, -73
5008, 101, -189, 29, 4720, -258, -125, -64
5008, 66, -184, 38, 4832, -257, -125, -90
5008, 65, -178, 45, 4768, -239, -132, -71
5008, 85, -198, 35, 4816, -246, -126, -79
5056, 87, -158, 43, 4816, -255, -129, -76
5024, 80, -183, 54, 4816, -251, -131, -87
4944, 87, -181, 45, 4832, -271, -124, -61
5056, 88, -173, 55, 4816, -268, -158, -60
5008, 74, -192, 33, 4816, -247, -126, -46
4960, 82, -180, 72, 4832, -242, -142, -78
5008, 91, -180, 50, 4720, -251, -111, -84
4944, 94, -177, 67, 4816, -255, -143, -60
5008, 76, -190, 50, 4768, -246, -149, -56
5056, 66, -183, 56, 4816, -260, -149, -55
5008, 82, -160, 83, 4816, -243, -156, -52
4960, 74, -191, 75, 4768, -271, -146, -64
5024, 69, -184, 66, 4848, -257, -126, -65
5008, 71, -175, 65, 4816, -265, -146, -34
5008, 27, -152, 41, 4880, -287, -185, -49
4960, -86, -154, 62, 4832, -283, -287, -48
5024, -55, -186, 266, 4816, -283, -312, 282
4992, -73, -107, 908, 4816, -306, -294, 719
5072, -65, -135, 489, 4880, -293, -293, 338
4992, -159, -108, 550, 4768, -293, -348, 459
5008, -205, -132, 824, 4832, -251, -432, 745
4960, -1174, -163, 645, 4816, -303, -1627, 483
4960, -2663, -111, 459, 4816, -329, -3067, 320
5024, -3856, -123, 456, 4832, -295, -4186, 341
4992, -5013, -207, 353, 4768, -263, -5381, 192
5024, -6265, -228, 111, 4784, -249, -6571, -44
4928, -7223, -248, 27, 4832, -241, -7471, -113
4928, -7850, -252, 14, 4880, -216, -8092, -142
4992, -8334, -279, -56, 4832, -221, -8547, -161
5056, -8727, -299, -82, 4752, -190, -8929, -243
4928, -9116, -308, -190, 4752, -169, -9299, -338
5056, -9363, -286, -314, 4784, -189, -9529, -449
4960, -9310, -292, -254, 4768, -174, -9423, -373
4992, -8981, -307, -227, 4832, -194, -9121, -359
4992, -8715, -302, -241, 4816, -193, -8846, -373
4992, -8627, -301, -233, 4752, -148, -8799, -401
5008, -8573, -313, -220, 4784, -159, -8727, -354
5008, -8505, -298, -216, 4816, -189, -8596, -379
5056, -8370, -269, -301, 4832, -181, -8480, -451
5008, -8039, -289, -321, 4784, -169, -8199, -442
4992, -7655, -276, -299, 4832, -214, -7726, -454
5056, -7218, -246, -371, 4848, -218, -7293, -503
5008, -6833, -241, -378, 4768, -223, -6902, -503
5008, -6373, -234, -365, 4768, -222, -6500, -473
5008, -5952, -166, -265, 4816, -275, -6065, -381
5072, -5445, -134, -272, 4816, -350, -5560, -426
5024, -4969, -62, -431, 4784, -404, -5045, -556
4944, -4383, -42, -550, 4816, -373, -4464, -664
5008, -3829, -94, -610, 4752, -341, -3896, -742
4992, -3247, -154, -669, 4784, -264, -3320, -766
5008, -2654, -203, -667, 4768, -210, -2745, -776
5008, -2049, -276, -588, 4816, -132, -2143, -691
4992, -1418, -260, -358, 4816, -164, -1475, -475
5008, -738, -133, -271, 4768, -282, -826, -369
5024, -189, -144, -245, 4784, -299, -271, -377
4960, 222, -149, -241, 4768, -293, 142, -346
4992, 613, -145, -239, 4816, -274, 476, -309
4960, 924, -128, -161, 4784, -274, 777, -272
5056, 1100, -156, -88, 4768, -262, 930, -179
5056, 1231, -166, -31, 4832, -236, 1080, -112
5008, 1377, -148, 3, 4704, -243, 1181, -78
4992, 1507, -181, 33, 4832, -237, 1305, -68
4944, 1579, -154, 21, 4752, -254, 1406, -71
4960, 1748, -145, 59, 4832, -239, 1570, -48
5008, 2017, -169, 87, 4704, -236, 1868, -20
4928, 2384, -167, 127, 4768, -248, 2263, 18
5008, 2870, -135, 135, 4816, -242, 2766, 38
5008, 3413, -145, 187, 4816, -233, 3263, 98
5008, 4001, -150, 258, 4784, -240, 3884, 135
5056, 4593, -160, 220, 4848, -261, 4469, 125
4944, 5198, -109, 248, 4752, -279, 5094, 136
4928, 5800, -127, 188, 4752, -264, 5673, 102
5024, 6374, -67, 136, 4880, -309, 6284, 23
4896, 7045, -92, 119, 4832, -316, 6977, 14
5072, 7857, -47, 107, 4832, -312, 7792, -3
4960, 8831, -56, 104, 4720, -301, 8799, 28
5008, 9995, -57, 166, 4816, -307, 9931, 105
4992, 11007, -64, 387, 4752, -277, 10930, 348
5008, 11953, -73, 642, 4752, -250, 11815, 579
5008, 12598, -82, 722, 4816, -282, 12427, 605
4992, 12957, -59, 609, 4704, -278, 12799, 535
5024, 13263, -22, 565, 4880, -266, 13041, 496
5008, 13401, -47, 677, 4784, -314, 13206, 578
4960, 13580, -25, 685, 4816, -309, 13349, 565
5008, 13639, 0, 542, 4768, -308, 13399, 451
5008, 13869, 28, 449, 4832, -337, 13731, 362
4960, 14876, -779, 646, 4816, 652, 14928, -30
4960, -1272, -892, -482, 4816, -407, 29, -822
5024, 70, -79, -614, 4816, -232, -366, -686
4944, 121, -58, -426, 4704, -256, -350, -513
5024, 47, -185, -183, 4720, -255, -126, -297
4944, 127, -238, -30, 4752, -240, -49, -157
5008, 33, -212, 23, 4768, -270, -167, -108
4928, 47, -218, 40, 4816, -278, -123, -90
4944, 73, -194, 53, 4832, -274, -106, -87
5008, 116, -194, 65, 4816, -230, -80, -52
4928, 127, -191, 47, 4848, -234, -114, -63
4880, 93, -220, 68, 4816, -198, -130, -58
5056, 95, -215, 62, 4752, -229, -132, -68
4944, 92, -177, 46, 4816, -236, -110, -75
4960, 76, -166, 44, 4816, -256, -118, -52
4928, 75, -177, 63, 4832, -264, -119, -69
5056, 82, -179, 30, 4896, -251, -127, -77
5008, 98, -156, 66, 4816, -242, -124, -70
4992, 72, -167, 48, 4832, -250, -127, -74
5072, 70, -207, 49, 4816, -256, -115, -55
4960, 100, -191, 68, 4880, -269, -134, -87
4992, 68, -189, 39, 4816, -240, -136, -64
5024, 97, -188, 25, 4752, -237, -118, -66
5056, 91, -184, 44, 4720, -259, -118, -73
4992, 90, -201, 50, 4832, -243, -146, -75
4992, 80, -182, 50, 4768, -224, -114, -66
5024, 92, -159, 31, 4784, -240, -137, -86
5008, 90, -198, 38, 4752, -255, -138, -99
5056, 69, -195, 36, 4816, -239, -123, -92
5008, 81, -182, 43, 4768, -241, -159, -70
4944, 90, -173, 33, 4672, -250, -112, -75
4960, 87, -176, 51, 4784, -255, -121, -75
5056, 81, -202, 55, 4768, -251, -120, -60
4928, 72, -191, 42, 4816, -257, -132, -61
5008, 71, -169, 36, 4720, -263, -126, -86
4928, 84, -176, 40, 4816, -260, -142, -78
4896, 76, -179, 37, 4768, -249, -124, -82
4992, 85, -182, 35, 4784, -261, -138, -73
5056, 88, -174, 51, 4816, -255, -116, -70
5056, 90, -179, 38, 4704, -252, -153, -63
4896, 66, -177, 55, 4784, -255, -148, -75
4992, 65, -195, 44, 4704, -262, -126, -84
4960, 73, -175, 55, 4768, -246, -142, -90
4944, 67, -192, 38, 4784, -221, -122, -72
5008, 84, -172, 22, 4784, -260, -153, -90
4960, 63, -166, 33, 4768, -254, -162, -123
5008, 83, -184, -848, 4832, -235, -112, -1197
4992, 48, -150, -1442, 4752, -279, -140, -1530
5008, 98, -185, -1513, 4784, -248, -141, -1713
5008, 54, -73, -2138, 4784, -263, -166, -2271
4944, 97, -166, -2778, 4752, -291, -139, -2951
5008, 59, -140, -3287, 4752, -252, -135, -3535
5008, 51, -144, -4051, 4816, -254, -131, -4338
5008, 157, -201, -4995, 4768, -239, -114, -5234
5056, 52, -137, -5439, 4832, -268, -253, -5614
5008, 105, -152, -5686, 4784, -251, -141, -5894
4992, 110, -138, -6108, 4752, -225, -87, -6355
4944, 165, -180, -7197, 4768, -185, -101, -7605
5024, 163, -101, -9210, 4768, -274, -59, -9687
5024, 89, -174, -12278, 4832, -258, -74, -12932
5008, 166, -226, -16374, 4784, -179, 103, -17262
4960, 13, -60, -21455, 4768, -202, -269, -22320
4960, -26, -138, -26401, 4816, -146, 112, -27338
4944, 142, 24, -29231, 4768, -354, -484, -29450
5024, 192, 100, -29386, 4720, -51, 46, -29679
5008, 315, -706, -26271, 4784, 126, -85, -25833
4896, 233, -387, -23003, 4816, -7, 120, -22590
4960, -207, 45, -16863, 4752, -382, -306, -15756
5024, -42, -26, -11075, 4832, -270, -99, -10599
5008, 194, -187, -8014, 4784, -178, -71, -7745
4992, 144, -208, -6631, 4816, -199, -89, -6700
4944, 99, -237, -6527, 4816, -229, -106, -6618
4960, 103, -246, -6277, 4752, -198, -111, -6409
4992, 87, -171, -5918, 4832, -174, -32, -6007
5008, 163, -245, -5953, 4832, -169, -66, -6080
5008, 90, -186, -5647, 4768, -222, -135, -5688
5008, 83, -159, -5384, 4784, -277, -140, -5420
4960, 143, -239, -4868, 4832, -182, -113, -4912
5008, 116, -120, -4434, 4704, -300, -134, -4506
4992, 125, -242, -4006, 4832, -200, -82, -4050
5024, 85, -181, -3499, 4768, -246, -146, -3499
5008, 86, -134, -3006, 4720, -281, -151, -3035
5008, 65, -123, -2627, 4832, -273, -128, -2679
5072, 92, -159, -2350, 4832, -320, -116, -2444
5056, 91, -187, -2049, 4752, -230, -112, -2102
4960, 78, -144, -1672, 4832, -314, -161, -1751
4928, 69, -128, -1411, 4832, -314, -168, -1520
5056, 50, -134, -1106, 4880, -273, -152, -1126
4960, 72, -163, -440, 4848, -255, -145, -450
4944, 65, -172, 272, 4768, -280, -140, 325
4960, 84, -211, 1303, 4896, -259, -102, 1272
5008, 39, -124, 1931, 4816, -292, -201, 1968
5008, 100, -162, 2266, 4768, -249, -193, 2145
4944, 73, -180, 2275, 4784, -250, -116, 2127
5024, 53, -197, 1994, 4816, -248, -154, 1788
5008, 54, -162, 1573, 4752, -260, -161, 1450
5008, 29, -170, 1567, 4784, -286, -179, 1503
4960, 64, -175, 2283, 4880, -250, -131, 2335
5024, 93, -187, 3108, 4816, -241, -163, 3133
5072, 90, -159, 4043, 4752, -262, -121, 4097
4944, 85, -194, 4897, 4816, -276, -171, 4895
4992, 4, -171, 5831, 4784, -258, -129, 5925
5008, 26, -111, 6620, 4784, -302, -163, 6679
5024, 163, -212, 7574, 4832, -262, -107, 7571
5024, -60, -162, 8466, 4720, -271, -275, 8499
5056, 54, -184, 8738, 4784, -245, -87, 8631
4928, 115, -224, 8699, 4768, -229, -89, 8613
5056, 73, -192, 8437, 4784, -263, -134, 8256
4944, 115, -284, 7847, 4816, -207, -130, 7655
5056, 98, -188, 7954, 4752, -204, -115, 7987
5056, 33, -218, 8519, 4832, -284, -156, 8543
5008, 32, -176, 9882, 4768, -256, -96, 10160
5008, 94, -220, 10920, 4768, -280, -156, 10948
4992, 6, -195, 12570, 4784, -364, -224, 12798
5008, -82, -207, 15328, 4880, -306, -194, 15605
4944, -8, -343, 16974, 4768, -289, -171, 17052
5008, 22, -243, 19799, 4928, -298, -209, 19946
4928, 267, -253, 21447, 4784, -294, -106, 21578
5104, 14, -81, 23109, 4816, -344, -174, 23131
4992, 39, -209, 22768, 4816, -304, -237, 22397
4928, 118, -222, 21503, 4768, -156, -140, 21235
4992, -43, -163, 18931, 4784, -237, -163, 18292
5008, -111, -146, 16407, 4832, -266, -212, 16004
4992, 27, -262, 14433, 4704, -283, -241, 14131
5008, -24, -155, 13734, 4816, -305, -276, 13779
4960, 210, -292, 14315, 4784, -267, -162, 14094
5008, 53, -156, 13463, 4752, -236, -193, 13278
5008, 26, -157, 12799, 4816, -266, -221, 12567
4992, 84, -244, 11806, 4816, -254, -115, 11573
5056, 69, -225, 10330, 4832, -254, -151, 9952
4960, 73, -244, 8990, 4816, -211, -102, 8699
5008, 106, -245, 7177, 4768, -204, -174, 6751
5008, -7, -183, 5623, 4768, -276, -188, 5293
5024, -23, -170, 4964, 4816, -314, -184, 4760
5024, 37, -162, 4347, 4848, -262, -190, 4130
4928, 51, -195, 3803, 4896, -243, -138, 3545
5056, -18, -160, 3015, 4816, -242, -127, 2778
5056, 29, -135, 2374, 4832, -263, -150, 2213
5008, 86, -187, 2004, 4752, -234, -159, 1835
5056, 158, -201, 1765, 4816, -226, -118, 1601
5072, 141, -270, 1402, 4784, -228, -102, 1238
5104, 131, -190, 1202, 4896, -250, -129, 1096
5008, 75, -212, 976, 4784, -253, -101, 829
4960, 107, -220, 745, 4784, -230, -74, 556
4944, 80, -235, 545, 4832, -251, -163, 441
5008, 39, -183, 473, 4816, -260, -173, 304
5056, 78, -191, 336, 4768, -262, -173, 223
5008, 95, -208, 283, 4768, -242, -112, 140
5008, 57, -228, 283, 4768, -230, -136, 153
4992, 54, -161, 196, 4816, -229, -113, 100
5008, 55, -197, 166, 4816, -237, -160, 88
4944, 74, -153, 174, 4880, -226, -133, 39
4960, 54, -185, 122, 4768, -228, -136, 19
4960, 39, -168, 100, 4880, -251, -150, -6
5008, 61, -198, 101, 4816, -239, -147, -65
5008, 97, -187, -10, 4816, -246, -96, -179
5008, 30, -193, -55, 4768, -251, -139, -178
4960, 36, -147, -66, 4768, -232, -159, -164
5056, 55, -171, -158, 4832, -237, -177, -287
5008, 64, -168, -255, 4848, -223, -143, -412
4992, -40, -161, -348, 4816, -248, -208, -467
5056, -24, -180, -351, 4784, -258, -214, -468
4928, -16, -193, -367, 4768, -267, -199, -498
5024, -44, -187, -324, 4768, -238, -185, -417
5056, 29, -179, -46, 4832, -275, -209, -156
4960, 116, -178, 159, 4720, -217, -106, 57
4992, 36, -189, 225, 4752, -226, -170, 77
4960, 148, -199, 140, 4768, -253, -86, -11
5008, 23, -200, -89, 4832, -232, -124, -242
5008, -3, -170, -309, 4896, -259, -176, -469
4960, 48, -162, -493, 4752, -254, -156, -612
5008, 80, -178, -539, 4768, -192, -117, -661
5008, 47, -175, -559, 4816, -256, -174, -661
4896, 76, -208, -656, 4880, -239, -105, -783
5008, 4, -194, -763, 4752, -245, -159, -917
5056, 40, -169, -1120, 4848, -217, -165, -1311
4960, 99, -153, -1501, 4880, -212, -148, -1659
5056, 195, -340, -1376, 4784, 93, 89, -1391
5056, 756, -851, -806, 4832, 501, 527, -884
5008, -55, 158, -282, 4880, -467, -343, -274
4928, 227, -346, -12, 4768, -16, 64, -128
5008, 13, -71, 31, 4768, -332, -175, -82
4896, 92, -281, 69, 4720, -180, -85, -63
5008, 19, -142, 32, 4768, -276, -166, -75
5056, 79, -205, 54, 4704, -204, -94, -57
5056, 47, -168, 41, 4704, -229, -156, -86
5008, 62, -201, 39, 4816, -234, -116, -79
5008, 78, -172, 48, 4768, -257, -159, -65
5072, 66, -189, 65, 4784, -223, -113, -68
5008, 54, -171, 50, 4784, -232, -141, -75
5024, 79, -181, 46, 4848, -233, -122, -66
4944, 68, -166, 42, 4768, -221, -118, -65
4960, 55, -197, 36, 4880, -250, -142, -63
4928, 62, -191, 46, 4832, -226, -133, -56
4992, 62, -197, 46, 4704, -238, -150, -51
5008, 59, -205, 54, 4816, -229, -137, -72
5024, 53, -189, 29, 4768, -236, -108, -56
5024, 60, -201, 39, 4880, -208, -130, -80
4960, 79, -177, 54, 4704, -236, -126, -57
4928, 57, -170, 29, 4768, -233, -121, -62
5008, 49, -189, 25, 4848, -234, -119, -49
5024, 45, -167, 55, 4880, -207, -105, -67
4928, 68, -185, 57, 4816, -232, -161, -59
4960, 69, -183, 35, 4816, -215, -131, -67
5008, 64, -169, 27, 4704, -230, -132, -58
5056, 58, -188, 39, 4752, -240, -130, -61
5008, 56, -180, 35, 4832, -232, -138, -68
4928, 53, -182, 45, 4880, -238, -122, -57
5056, 58, -180, 43, 4768, -230, -149, -68
5024, 60, -185, 63, 4832, -237, -122, -45
4992, 64, -180, 57, 4752, -227, -124, -70
5056, 68, -178, 46, 4816, -223, -120, -73
4960, 53, -187, 51, 4768, -248, -137, -42
4992, 58, -195, 34, 4880, -228, -147, -67
4928, 45, -193, 58, 4832, -239, -147, -50
5008, 68, -197, 27, 4832, -252, -121, -69
4960, 78, -199, 42, 4848, -228, -108, -79
4960, 73, -176, 55, 4816, -240, -150, -68
5008, 59, -185, 60, 4768, -231, -141, -46
4992, 49, -205, 33, 4832, -230, -144, -53
5104, 61, -173, 45, 4768, -233, -109, -60
4960, 50, -187, 60, 4768, -232, -121, -71
4944, 50, -175, 57, 4816, -224, -128, -73
5056, 55, -198, 31, 4768, -229, -138, -73
5008, 65, -175, 46, 4768, -243, -128, -80
4944, 58, -184, 52, 4816, -212, -135, -92
4960, 59, -171, 50, 4720, -245, -136, -58
5008, 40, -183, 53, 4768, -231, -128, -71
4992, 49, -146, 42, 4816, -238, -162, -72
4944, 59, -187, 24, 4704, -238, -130, -64
